id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item,product_name,brand_id,brand_name
182971940,7966240754631,Ly giữ nhiệt LocknLock có 2 nắp thay thế New Clip Tumbler 540ml LHC4279 có cấu trúc tường đôi cho hiệu quả cách nhiệt và giữ mát xuất sắc cũng như ngăn ngừa được việc đọng nước ngoài thành bình.Hai ...,279000,520000,,241000,46,1,,available,,1000,,48077,Lock&Lock
99436178,1180214315247,1/ MÔ TẢ SẢN PHẨM– Màu sắc: Trắng xám– Size: 34.7 x 26.5 x 18.2 cm– Trọng lượng: 2 kgDung tích: 45L – Có 3 ngắn : 2 kéo+ 1 nắp– Chất liệu: ABS2/ CHỨC NĂNG SẢN PHẨM/ THIẾT KẾ THÔNG MINH– Thiết kế san...,329000,500000,,171000,34,1,,available,,1000,,111461,OEM
72652203,9481579402999,"Hộp đựng thức ăn cho bé Lock&Lock có vạch chia 230ml x 3 hộp LLG508S3 làm từ thủy tinh Borosilicate chịu nhiệt (từ -20 độ C lên đến 400℃), an toàn và đáng tin cậyHộp đựng thức ăn kín hơiThiết ...",189000,350000,,161000,46,67,,available,,1000,,48077,Lock&Lock
21145821,8706164098939,"Thùng Rác Đạp Matsu Duy Tân Lớn Màu sắc trang nhãKiểu dáng mới lạ, nhiều kích cỡ lựa chọnThiết kế thông minh với cần đạp tiện lợi khi sử dụngLồng đựng rác bên trong dễ tháo lắp, di chuyển nhanh ch...",158000,165000,,7000,4,333,,available,,1000,,50655,Duy Tân
21441057,9944927310617,"Chảo Chống Dính Đá Sunhouse SBD18 được tin dùng bởi công năng tuyệt vời, độ chống dính cao cùng với kết cấu bền chắc. Bề mặt phủ lớp đá Marble khiến cho tổng quan sản phẩm đẹp mắt, ấn tượng và nổi bậ...",182900,182900,,0,0,0,,available,,1000,,41048,Sunhouse
189308459,6023280237348,- Gỗ thông mới nhập khẩu: gỗ thông 5cm x 10cm + gia công láng mịn 4 mặt- Số lượng: 1 thanh gỗ thông mới dài 100cm x mặt rộng 10cm x độ dày 5cm + láng mịn 4 mặt--------------- Gỗ thông được đánh giá...,100000,100000,,0,0,0,,available,,1000,,111461,OEM
117353723,8574020376721,"Chiếu ngủ văn phòng cao cấp Chất liệu nhựa 2 lớp: lớp mút và lớp bạc êm ái Gọn nhẹ, dễ dàng mang theo khi đi dã ngoại, văn phòng Xếp gọn và vệ sinh dễ dàng Cho giấc ngủ trưa ngon, không nóng bức  ...",27000,27000,,0,0,211,,available,,1000,,293033,Krishna
75614459,7699746662899,"  Thùng rác treo tủ Parroti Bin là một sản phẩm đột phá của hãng, thùng rác có thể được treo gọn gàng trước cửa tủ bếp bằng thanh ray hoặc miếng dán tường, rất thuận tiện cho việc di chuyển nhi...",189000,299000,,110000,37,0,,available,,1000,,746615,Parroti
57999394,9466863791713,"** Bộ ga gối cotton Tici gồm: - 01 Ga/Drap bo thun theo kích thước theo yêu cầu- 02 Vỏ gối nằm kích thước 50 x 70 cm** Bộ ga gối Cotton tici ( hay còn gọi là cotton thô, hay cotton đũi). Chất liệu vải...",219000,229000,,10000,4,283,,available,,1000,,697923,LIDACO
83679931,1536753371959,"  ĐỂ PHÒNG NGỦ CỦA BẠN ĐẠT CHUẨN 5 SAO Bạn đang muốn : Sở hữu căn phòng ngủ đẹp, tiêu chuẩn như khách sạn 5 sao mà bản thân từng đi nghỉ dưỡng!Trải nghiệm cảm giác nằm trên những chiếc giường c...",3904500,4110000,,205500,5,9,,available,,1000,,25944,Dada
52574827,5484450002770,"HƯỚNG DẪN SỬ DỤNG:Mở ô (dù) đơn giản chỉ với 1 nút bấm.Khi thu ô (dù), ngoài việc bấm nút để thu lại sau đó quý khách dùng tay ấn từ chóp ô để thu phần que ngắn lại như trước khi mở vào lần tới.D...",174000,220000,,46000,21,1068,,available,,1000,,277519,DandiHome
74014046,3610366414808,Ống hút tái sử dụng an toàn cho béBộ 6 Ống Hút Silicone Có Thể Tái Sử Dụng Kèm 2 Cọ Rửa Lock&Lock TLL080 ( 250 x 78 mm) được làm từ chất liệu silicone mềm mại không những an toàn với nướu lợi nhạ...,75000,138000,,63000,46,28,,available,,1000,,48077,Lock&Lock
164479566,1316303974639,"Sản phẩm của công ty Roichen Hàn Quốc - Sản xuất tại Hàn QuốcCông ty đã nhận được rất nhiều giải thưởng như Red Award, Design Award, Sản phẩm được người tiêu dùng bình chọn: 2011-2019 tại Hàn Quốc....",768000,768000,,0,0,93,,available,,1000,,5465099,Roichen
185334349,1903270406844,Phù hợp với tất cả các dòng nệm có độ dày dưới 20cm.Bộ sản phẩm ga gối Tencel 4 món cao cấp Thuần Việt gồm:- 2 áo gối nằm 50x70cm- 1 áo gối ôm 35x100cm- 1 ga 1m6x2mx27cm or 1m8x2mx27cmSử dụng chấ...,558000,1088000,,530000,49,0,,available,,1000,,464405,Nệm Thuần Việt
1303927,3678080792657,"Bình Giữ Nhiệt Lock&Lock Name Tumbler LHC4125B là một trong số những loại bình giữ nhiệt được nhiều người yêu thích và tin dùng bởi khả năng giữ nhiệt tốt, rất thích hợp cho những chuyến dã n...",333000,644000,,311000,48,226,,available,,1000,,48077,Lock&Lock
2153235,6747317448906,"Bình Giữ Nhiệt Lock&Lock Feather Light LHC4131BKB thiết kế thân thẳng, kiểu dáng thon gọn và màu sắc bắt mắt, dễ dàng đóng mở, tiện lợi cho bạn mang theo đến văn phòng, trường học hay đi dã ngoạ...",294000,545000,,251000,46,203,,available,,1000,,48077,Lock&Lock
113224438,1069772000400,"Ruột gối nằm Microfiber LIDACO gối bông hạt 3d không xẹp lún️ Sản phẩm ruột gối nằm Microfiber LIDACO được sản xuất trên dây chuyền công nghệ hiện đại, kĩ thuật tiên tiến đảm bảo từng đường kim mũi c...",85000,125000,,40000,32,154,,available,,1000,,697923,LIDACO
177665662,7523092827855,Ghế Sofa 3 chỗ Jang In - Narni da bò cao cấp màu xanh Navy  THÔNG TIN SẢN PHẨMThương hiệu: JANG INXuất xứ: Việt NamBộ sưu tập: NARNIKích cỡ: 2150 x 970 x 950 mmMàu sắc: NAVYChất liệu:...,26520000,31200000,,4680000,15,1,,available,,1000,,5046787,JangIn
71924330,8126161754070,"Bộ Chổi Quét Nhà Gồm 1 Cây Chổi + 1 Dụng Cụ Hốt Lock&Lock ETM465 là sản phẩm vô cùng tiện ích, thay thế cho cây chổi quét bình thường thân inox nhỏ , nhẹ dễ luồn lách nhẹ nhàng đến các khe hẹp: b...",250000,390000,,140000,36,6,,available,,1000,,48077,Lock&Lock
